n_threads;time(s);mPow_size
1;0.001144;9
1;0.001144;9
2;0.00111;9
2;0.001121;9
1;0.001156;9
2;0.001098;9
1;0.001144;9
1;0.00115;9
1;0.001145;9
2;0.001114;9
1;0.001164;9
1;0.001156;9
1;0.001143;9
2;0.001099;9
1;0.001151;9
1;0.001143;9
1;0.001145;9
1;0.001155;9
4;0.000641;9
1;0.001155;9
1;0.001279;9
1;0.001275;9
4;0.001837;9
1;0.001263;9
4;0.001495;9
2;0.002086;9
2;0.001275;9
4;0.000928;9
2;0.001096;9
2;0.000977;9
2;0.000914;9
4;0.000974;9
2;0.001196;9
2;0.000955;9
2;0.00135;9
8;0.000641;9
2;0.001241;9
2;0.001161;9
2;0.001107;9
8;0.000666;9
2;0.001264;9
2;0.000981;9
2;0.000929;9
8;0.0008;9
2;0.000955;9
4;0.000808;9
8;0.000823;9
4;0.000984;9
4;0.000798;9
8;0.000627;9
4;0.001442;9
4;0.000972;9
4;0.001006;9
16;0.000904;9
4;0.001008;9
4;0.000869;9
4;0.00106;9
4;0.000838;9
16;0.001138;9
4;0.000938;9
4;0.000854;9
16;0.000868;9
4;0.001032;9
4;0.001804;9
16;0.000739;9
4;0.000875;9
8;0.001464;9
16;0.001493;9
8;0.001247;9
8;0.000978;9
8;0.001456;9
8;0.000944;9
32;0.000809;9
8;0.000699;9
8;0.000544;9
32;0.000759;9
8;0.001119;9
8;0.000905;9
8;0.000931;9
8;0.001042;9
8;0.001065;9
8;0.000864;9
32;0.001281;9
32;0.001018;9
8;0.001407;9
8;0.001483;9
16;0.000535;9
32;0.000887;9
16;0.001444;9
16;0.001186;9
16;0.001178;9
16;0.001331;9
64;0.001403;9
16;0.00096;9
16;0.000985;9
64;0.00109;9
16;0.001128;9
16;0.001427;9
16;0.001139;9
16;0.001167;9
16;0.001169;9
16;0.001166;9
64;0.001316;9
16;0.001139;9
64;0.001307;9
16;0.001369;9
32;0.001333;9
64;0.001532;9
32;0.001232;9
32;0.000912;9
32;0.001058;9
32;0.001399;9
32;0.001375;9
32;0.001288;9
32;0.000986;9
96;0.001685;9
32;0.001046;9
32;0.001166;9
32;0.001387;9
96;0.001404;9
32;0.001457;9
32;0.001322;9
32;0.001526;9
32;0.001489;9
96;0.001549;9
64;0.002051;9
96;0.001794;9
64;0.001732;9
64;0.002003;9
64;0.001665;9
96;0.001543;9
64;0.001489;9
64;0.00177;9
64;0.001676;9
64;0.001414;9
64;0.001486;9
64;0.00168;9
64;0.001226;9
64;0.001504;9
64;0.002094;9
64;0.001022;9
64;0.001316;9
96;0.001469;9
96;0.001455;9
96;0.001279;9
96;0.001409;9
96;0.00188;9
96;0.001523;9
96;0.001731;9
96;0.001655;9
96;0.001691;9
96;0.001689;9
96;0.001701;9
96;0.00166;9
96;0.001814;9
96;0.001814;9
96;0.001802;9
1;0.005049;10
1;0.004738;10
1;0.004801;10
1;0.005695;10
1;0.006188;10
1;0.004765;10
1;0.004803;10
1;0.004819;10
1;0.004962;10
1;0.004783;10
1;0.004989;10
1;0.004792;10
1;0.004789;10
1;0.004902;10
1;0.004798;10
1;0.005024;10
1;0.00647;10
1;0.004741;10
1;0.004802;10
2;0.004537;10
1;0.007319;10
2;0.003651;10
2;0.006244;10
2;0.004403;10
2;0.004498;10
2;0.00424;10
2;0.003815;10
2;0.003995;10
2;0.005205;10
2;0.003819;10
2;0.006592;10
2;0.00414;10
2;0.004763;10
2;0.003717;10
2;0.004011;10
4;0.003367;10
2;0.00393;10
2;0.008059;10
4;0.003208;10
2;0.004595;10
4;0.003096;10
2;0.004639;10
4;0.004115;10
4;0.004762;10
4;0.005138;10
4;0.003083;10
2;0.005218;10
4;0.003492;10
4;0.003557;10
4;0.004099;10
4;0.003827;10
4;0.002884;10
4;0.002277;10
8;0.003187;10
4;0.006761;10
4;0.004642;10
8;0.002935;10
4;0.004523;10
8;0.002958;10
4;0.005277;10
8;0.003287;10
8;0.00272;10
8;0.003827;10
8;0.002227;10
