time(s);mPow_size
2.62819e-05;5
2.62558e-05;5
0.000112679;6
0.000112284;6
0.000111986;6
0.000112213;6
0.000112545;6
0.00019237;7
0.000439979;7
0.000438299;7
0.000395462;7
0.000449412;7
0.000562519;8
0.00102916;8
0.000564069;8
0.000803508;8
0.000882983;8
0.00241471;9
0.00290103;9
0.00280616;9
0.00240371;9
0.00271193;9
0.0102629;10
0.0099648;10
0.00975541;10
0.00988411;10
0.00999377;10
0.0587137;11
0.053959;11
0.0475528;11
0.0458928;11
0.0452128;11
0.275068;12
0.249017;12
0.249911;12
0.245626;12
0.244902;12
3.1516e-06;4
2.99886e-06;4
8.08388e-06;4
8.0578e-06;4
7.97212e-06;4
2.98284e-05;5
2.99402e-05;5
2.97017e-05;5
2.94968e-05;5
2.98135e-05;5
8.69334e-05;6
8.64044e-05;6
0.000112064;6
8.61324e-05;6
0.000112284;6
0.000246949;7
0.000303555;7
0.00044062;7
0.000448778;7
0.000245005;7
0.000579782;8
0.00103543;8
0.000965618;8
0.00140962;8
0.000748508;8
0.00249122;9
0.00270475;9
0.00271438;9
0.00277035;9
0.00446821;9
0.0104269;10
0.01059;10
0.00994311;10
0.00999103;10
0.0133693;10
0.0588461;11
0.0569873;11
0.0483056;11
0.0471733;11
0.0463564;11
0.275402;12
0.250932;12
0.248344;12
0.247683;12
0.246634;12
4.51505e-06;4
8.0727e-06;4
7.59959e-06;4
7.83056e-06;4
7.78958e-06;4
2.90014e-05;5
2.89269e-05;5
2.88486e-05;5
2.88561e-05;5
4.77135e-05;5
8.60728e-05;6
8.61846e-05;6
8.59164e-05;6
8.60542e-05;6
8.58456e-05;6
0.00025218;7
0.000337623;7
0.000353143;7
0.000243865;7
0.000439331;7
0.000585619;8
0.00124798;8
0.00133346;8
0.000972278;8
0.00127172;8
0.00248615;9
0.00306656;9
0.00236285;9
0.00245101;9
0.00268042;9
0.0103562;10
0.013186;10
0.00991267;10
0.00988241;10
0.0103605;10
0.0594459;11
0.0542532;11
0.0480833;11
0.0463989;11
0.0457301;11
0.27563;12
0.250438;12
0.24961;12
0.247349;12
0.247553;12
